business_id,name,address,city,state,postal_code,latitude,longitude,stars,categories
yzlnxBGlHphac8QtzbIE6g,Cooters Restaurant & Bar,423 Poinsettia Ave,Clearwater Beach,FL,33767,27.979194,-82.826166,3.5,"American (Traditional), American (New), Sports Bars, Restaurants, Burgers, Chicken Wings, Sandwiches, Seafood, Local Flavor, Bars, Nightlife"
F3bzaJzhvsWPD3JQYSqrwQ,La Teresita Restaurant,7101 66th St N,Pinellas Park,FL,33781,27.837012,-82.7280759,3.5,"Restaurants, Spanish, Cuban"
PaR2isOWxfREi7KmzUNZfg,Cajun Seafood 2,1091 Almonaster Ave,New Orleans,LA,70117,29.977436,-90.047348,3.5,"Restaurants, Cajun/Creole"
SHZ3NhQj1FonMnKgdqRazg,Dunedin House of Beer,927 Broadway,Dunedin,FL,34698,28.0139878,-82.7897738,4.0,"Food, Restaurants, Sports Bars, Pool Halls, Bars, Breweries, Beer Bar, Pizza, Nightlife, Dive Bars, Pubs"
Dy91wdWkwtI_qgjAIZ0Niw,Taqueria Los Primos,3322 Old Capitol Trl,Wilmington,DE,19808,39.7320886,-75.6256733,4.0,"Mexican, Restaurants"
zi1BbV_hocgzuVtQxn4CJg,Fork + Ale House,"350 Veterans Way, Ste 150",Carmel,IN,46032,39.975801,-86.128891,3.5,"Restaurants, Food, Breweries"
EZLor0K7Ei6nwK5lQ2YtMg,Fat Boys Pizza,2565 Metairie Rd,Metairie,LA,70001,29.9803511,-90.1517781,3.5,"Nightlife, Bars, Salad, Pizza, Restaurants"
WO-ofNAvSuJpdRt9Auon6w,Heard Dat Kitchen,2520 Felicity St,New Orleans,LA,70113,29.94386,-90.0863251,4.5,"Restaurants, Cajun/Creole, Seafood, Soul Food"
sWWd5x4Rj3HxYMruIQLH4Q,Franks Pizza Kitchen,1116 Horsham Rd,Ambler,PA,19002,40.211107,-75.182751,3.5,"Restaurants, Pizza"
42iv8H7NqN1f9fSz_NPf4g,El Boom Catracho,1438 Federal St,Philadelphia,PA,19146,39.9358187,-75.1686973,5.0,"Latin American, Spanish, American (Traditional), Chicken Wings, Restaurants, Mexican"
KvgDY5cOy3-dmo2n5CsLLQ,Mighty Joe's Gas Grill & Deli,1231 Rt 206,Shamong,NJ,08088,39.8101055901,-74.7366522463,4.5,"Restaurants, Delis, Gas Stations, Automotive, Grocery, Food"
73ZXjIfdHJs59XOzKHQ45g,The Crossing,7823 Forsyth Blvd,Clayton,MO,63105,38.6504093,-90.3378136,4.5,"French, Restaurants, American (New), Italian"
CrnAE1XkNui4Dfiy7RpX_A,GFS Gordon Food Service,4574 Lafayette Rd,Indianapolis,IN,46254,39.837789882,-86.2485900521,3.0,"Restaurants, Food, Event Planning & Services, Grocery, Party Supplies, American (New)"
AuTmUY381to83xPwovoERg,Wingstop,127 Gallatin Pike N,Madison,TN,37115,36.2649788207,-86.712538285,2.5,"Chicken Wings, Restaurants, American (Traditional)"
_XM7-X5Lc-e_T1S71ri-GA,Zhong Gang Bakery,127 N 10th St,Philadelphia,PA,19107,39.9542944,-75.155929,3.5,"Food, Bakeries, Coffee & Tea, Restaurants"
YSKUg2V5dt1BazwipvPZuw,Timothy's The Restaurant,12710 Olive Blvd,St Louis,MO,63141,38.6792616,-90.4720434,4.5,"Bars, Nightlife, Food, Desserts, Hotels & Travel, American (New), Tours, Restaurants, Wine Tours, Cocktail Bars"
zJmp_J8SUNosLxk6borpFg,The Wild Cow,"1100 Fatherland St, Ste 104",Nashville,TN,37206,36.173823,-86.750055,4.5,"American (New), Vegan, Restaurants, Vegetarian"
pYP_dZ0Gf6WNms6OZzx3Qw,Tripe City,5124 Natural Bridge,Saint Louis,MO,63115,38.6775993,-90.2547487,3.0,"Soul Food, Sandwiches, Restaurants, Event Planning & Services, Caterers"
IKvFWy5NdXeHv3JIcVHQCQ,Tomodachi Japanese Steakhouse& Sushi Bar,"70 Buckwalter Rd, Ste 329",Royersford,PA,19468,40.1990578503,-75.5246498728,4.0,"Japanese, Restaurants, Sushi Bars, Steakhouses"
